Village,GPS Coordinates,Community Size*,Participants,Seropositivity N (%)
Bandawa,N 7.762661,Large,156,8 (5.18)
,W 11.36658,,,
Bendu,N 8.098046,Medium,165,32 (19.39)
,W 10.970994,,,
Benduma,N 8.231721,Medium,156,30 (19.23)
,W 10.890665,,,
Dodo,N 8.154537,Small,184,8 (4.35)
,W 11.17158,,,
Fala Wandor,N 8.282319,Small,173,12 (6.94)
,W 11.379355,,,
Foindu,N 8.104974,Large,180,64 (35.56)
,W 11.055531 ,,,
Gandahun,N 7.616507,Small,203,43 (21.18)
,W 11.446048,,,
Gawama,N 8.231582,Small,170,4 (2.35)
,W 11.343562,,,
Guaba,N 8.175211,Small,96,78 (81.25)
,W 11.20012,,,
Kokoru,N 7.630865,Medium,142,0 (0.00)
,W 11.11798,,,
Komendeh,N 8.061616,Small,137,20 (14.60)
,W 10.996173,,,
Komoru,N 7.995187,Small,177,10 (5.65)
,W 11.083379,,,
Konia,N 8.106163,Medium,119,49 (41.18)
,W 11.010608,,,
Kpalepalu,N 8.323698,Medium,238,33 (13.87)
,W 11.370818,,,
Kpallu,N 7.907588,Small,223,1 (0.45)
,W 11.085342,,,
Kpava,N 7.892324,Small,119,2 (1.68)
,W 11.131801,,,
Kpetema,N 8.274488,Medium,203,169 (83.25)
,W 11.074731 ,,,
Maleh,N 7.898208,Small,240,16 (6.67)
,W 11.046249,,,
Masihun,N 7.847216,Medium,203,0 (0.00)
,W 11.117803 ,,,
Massahun,N 8.051014,Small,96,10 (10.42)
,W 10.968487,,,
Ngeihun,N 8.174653,Medium,239,84 (35.15)
,W 11.085466,,,
Njorpowahun,N 7.744658,Small,57,24 (42.11)
,W 11.04871,,,
Patama,N 7.757858,Small,234,19 (8.12)
,W 11.078438 ,,,
Sandaru,N 7.769912,Medium,132,6 (4.55)
,W 11.041639 ,,,
Sawula,N 7.953218,Medium,232,9 (3.88)
,W 11.31145 ,,,
Sendimei,N 7.712857,Medium,156,14 (8.97)
,W 11.388466,,,
Talia,N 8.048327,Large,176,62 (35.23)
,W 11.033974,,,
Tangahun,N 8.186889,Small,131,12 (9.16)
,W 11.200752,,,
Tobanda,N 7.80875,Small,215,110 (51.16)
,W 11.368307,,,
Yumbuma,N 8.12103,Medium,216,111 (51.39)
,W 11.009368,,,
Port Loko,,,,
Conakry-Dee,N 8.698279,Small,120,0 (0.00)
,W 13.239524,,,
Gbaria-Mamaki,N 8.691447,Small,84,9 (10.71)
,W 12.692198,,,
Gbogbodo,N 8.725511,Small,64,14 (21.88)
,W 12.959058,,,
Hamdalai,N 8.760678,Small,82,61 (74.39)
,W 12.472747 ,,,
Kamasondo,N 8.870712,Medium,132,40 (30.30)
,W 12.513812,,,
Kofondu,N 8.896977,Small,38,3 (7.89)
,W 12.836979,,,
Mabureh-Buya,N 8.868382,Small,61,3 (4.92)
,W 12.477709,,,
Madina,N 8.900728,Small,59,9 (15.25)
,W 12.508055,,,
Mafundu,N 8.941122,Small,114,36 (31.58)
,W 12.857576,,,
Magbelai,N 8.470298,Small,108,40 (37.04)
,W 12.655005 ,,,
Magbontho,N 8.475743,Small,84,0 (0.00)
,W 12.648131,,,
Malal Rotain,N 8.907392,Small,82,3 (3.66)
,W 12.875606,,,
Mamankie,N 8.562514,Small,81,0 (0.00)
,W 13.130782,,,
Mamankie 2,N 8.566092,Large,156,0 (0.00)
,W 13.143895,,,
Mana 2,N 8.713723,Small,95,9 (9.47)
,W 12.969454,,,
Mange Bureh,N 8.920821,Large,189,0 (0.00)
,W 12.855978 ,,,
Mange Morie,N 8.922138,Small,143,5 (3.50)
,W 12.857411 ,,,
Mapawa,N 8.579579,Medium,112,2 (1.79)
,W 13.143377,,,
Maron,N 8.726211,Small,34,14 (41.18)
,W 12.687446,,,
Minthormore,N 9.014186,Small,155,11 (7.10)
,W 12.827678 ,,,
Patifu,N 8.791904,Small,95,35 (36.84)
,W 12.843518 ,,,
Robanka,N 8.731459,Small,59,3 (5.08)
,W 12.719125,,,
Ropolon,N 8.883433,Small,60,6 (10.00)
,W 12.493767,,,
Samkoya,N 8.7068,Small,35,7 (20.00)
,W 13.239553,,,
Yankoro,N 8.914929,Small,36,12 (33.33)
,W 12.856997,,,
Tonkolili,,,,
Goindema,N 8.584283,Small,72,5 (6.94)
,W 11.427915 ,,,
Kamankay,N 8.773874,Small,98,6 (6.12)
,W 11.852921,,,
Kangida,N 8.757046,Small,71,22 (30.99)
,W 11.966604,,,
Mabathof,N 8.643569,Small,120,106 (88.33)
,W 11.502716,,,
Mafanta,N 8.685366,Small,129,13 (10.08)
,W 11.931459,,,
Maforaka,N 8.63644,Small,96,2 (2.08)
,W 11.831444,,,
Magbonka,N 8.785286,Small,65,6 (9.23)
,W 11.871397,,,
Magbonko,N 8.860883,Small,81,18 (22.22)
,W 11.813135,,,
Makil-Bana,N 8.696487,Small,113,15 (13.27)
,W 11.921544,,,
Manenpeh,N 8.668915,Large,168,2 (1.19)
,W 11.922364 ,,,
Mange Bo Road,N 8.645331,Medium,142,14 (9.86)
,W 11.84615 ,,,
Maraka,N 8.757134,Small,108,8 (7.41)
,W 11.886451,,,
Masana,N 8.668719,Small,59,8 (13.56)
,W 11.883029,,,
Masonsingbi,N 8.635849,Medium,120,22 (18.33)
,W 11.474979,,,
Masorie,N 8.468829,Small,108,7 (6.48)
,W 12.205451,,,
Massanga,N 8.74794,Small,131,6 (4.58)
,W 11.839153,,,
Matainkay,N 8.714903,Large,168,0 (0.00)
,W 11.902135,,,
Matal,N 8.701285,Small,100,0 (0.00)
,W 11.938828,,,
Mathafulie,N 8.6353,Medium,120,8 (6.67)
,W 11.902604 ,,,
Mathan,N 8.767533,Medium,119,1 (0.84)
,W 11.876654,,,
Mathora,N 8.73444,Medium,166,6 (3.61)
,W 11.903496,,,
Mayan,N 8.658053,Small,120,19 (15.83)
,W 11.891744,,,
Robal,N 8.696331,Large,167,4 (2.40)
,W 11.921455,,,
Robonkay,N 8.634413,Small,144,0 (0.00)
,W 11.445015,,,
Rogbenthenel,N 8.741888,Small,120,5 (4.17)
,W 11.89697,,,
Romangoro,N 8.757152,Small,120,36 (30.00)
,W 11.886355 ,,,
Rowaka,N 8.631235,Small,171,0 (0.00)
,W 11.700727,,,